entry_time,exit_time,entry_action,exit_action,entry_price,exit_price,pnl
2025-07-25 09:27:00+05:30,2025-07-25 09:35:00+05:30,BUY,SELL,24943.0,24962.5,19.5
2025-07-25 09:35:00+05:30,2025-07-25 09:38:00+05:30,SELL,BUY,24962.5,24978.15,-15.650000000001455
2025-07-25 09:38:00+05:30,2025-07-25 09:41:00+05:30,BUY,SELL,24978.15,24947.65,-30.5
2025-07-25 09:41:00+05:30,2025-07-25 09:53:00+05:30,SELL,BUY,24947.65,24930.3,17.350000000002183
2025-07-25 09:53:00+05:30,2025-07-25 09:54:00+05:30,BUY,SELL,24930.3,24923.1,-7.200000000000728
2025-07-25 09:54:00+05:30,2025-07-25 09:56:00+05:30,SELL,BUY,24923.1,24941.85,-18.75
2025-07-25 09:56:00+05:30,2025-07-25 09:59:00+05:30,BUY,SELL,24941.85,24928.55,-13.299999999999272
2025-07-25 09:59:00+05:30,2025-07-25 10:03:00+05:30,SELL,BUY,24928.55,24937.15,-8.600000000002183
2025-07-25 10:03:00+05:30,2025-07-25 10:05:00+05:30,BUY,SELL,24937.15,24922.6,-14.55000000000291
2025-07-25 10:05:00+05:30,2025-07-25 10:43:00+05:30,SELL,BUY,24922.6,24866.35,56.25
2025-07-25 10:43:00+05:30,2025-07-25 10:54:00+05:30,BUY,SELL,24866.35,24862.3,-4.049999999999272
2025-07-25 10:54:00+05:30,2025-07-25 11:00:00+05:30,SELL,BUY,24862.3,24875.0,-12.700000000000728
2025-07-25 11:00:00+05:30,2025-07-25 11:11:00+05:30,BUY,SELL,24875.0,24870.15,-4.849999999998545
2025-07-25 11:11:00+05:30,2025-07-25 11:20:00+05:30,SELL,BUY,24870.15,24883.05,-12.899999999997817
2025-07-25 11:20:00+05:30,2025-07-25 11:34:00+05:30,BUY,SELL,24883.05,24872.45,-10.599999999998545
2025-07-25 11:34:00+05:30,2025-07-25 11:56:00+05:30,SELL,BUY,24872.45,24845.15,27.299999999999272
2025-07-25 11:56:00+05:30,2025-07-25 12:00:00+05:30,BUY,SELL,24845.15,24839.65,-5.5
2025-07-25 12:00:00+05:30,2025-07-25 12:05:00+05:30,SELL,BUY,24839.65,24848.15,-8.5
2025-07-25 12:05:00+05:30,2025-07-25 12:09:00+05:30,BUY,SELL,24848.15,24834.85,-13.30000000000291
2025-07-25 12:09:00+05:30,2025-07-25 12:13:00+05:30,SELL,BUY,24834.85,24843.65,-8.80000000000291
2025-07-25 12:13:00+05:30,2025-07-25 12:16:00+05:30,BUY,SELL,24843.65,24836.15,-7.5
2025-07-25 12:16:00+05:30,2025-07-25 12:30:00+05:30,SELL,BUY,24836.15,24832.15,4.0
2025-07-25 12:30:00+05:30,2025-07-25 12:52:00+05:30,BUY,SELL,24832.15,24861.75,29.599999999998545
2025-07-25 12:52:00+05:30,2025-07-25 13:01:00+05:30,SELL,BUY,24861.75,24866.55,-4.799999999999272
2025-07-25 13:01:00+05:30,2025-07-25 13:03:00+05:30,BUY,SELL,24866.55,24852.85,-13.700000000000728
2025-07-25 13:03:00+05:30,2025-07-25 13:07:00+05:30,SELL,BUY,24852.85,24867.65,-14.80000000000291
2025-07-25 13:07:00+05:30,2025-07-25 13:11:00+05:30,BUY,SELL,24867.65,24853.6,-14.05000000000291
2025-07-25 13:11:00+05:30,2025-07-25 13:19:00+05:30,SELL,BUY,24853.6,24860.4,-6.80000000000291
2025-07-25 13:19:00+05:30,2025-07-25 13:29:00+05:30,BUY,SELL,24860.4,24856.35,-4.05000000000291
2025-07-25 13:29:00+05:30,2025-07-25 13:39:00+05:30,SELL,BUY,24856.35,24851.5,4.849999999998545
2025-07-25 13:39:00+05:30,2025-07-25 14:02:00+05:30,BUY,SELL,24851.5,24867.6,16.099999999998545
2025-07-25 14:02:00+05:30,2025-07-25 14:22:00+05:30,SELL,BUY,24867.6,24845.85,21.75
2025-07-25 14:22:00+05:30,2025-07-25 14:26:00+05:30,BUY,SELL,24845.85,24838.6,-7.25
2025-07-25 14:26:00+05:30,2025-07-25 14:38:00+05:30,SELL,BUY,24838.6,24839.55,-0.9500000000007276
2025-07-25 14:38:00+05:30,2025-07-25 14:43:00+05:30,BUY,SELL,24839.55,24831.3,-8.25
2025-07-25 14:43:00+05:30,2025-07-25 14:57:00+05:30,SELL,BUY,24831.3,24830.1,1.2000000000007276
2025-07-25 14:57:00+05:30,2025-07-25 15:04:00+05:30,BUY,SELL,24830.1,24829.55,-0.5499999999992724
2025-07-25 15:04:00+05:30,2025-07-25 15:05:00+05:30,SELL,BUY,24829.55,24831.45,-1.9000000000014552
2025-07-25 15:05:00+05:30,2025-07-25 15:16:00+05:30,BUY,SELL,24831.45,24837.15,5.700000000000728
2025-07-25 15:16:00+05:30,2025-07-25 15:22:00+05:30,SELL,BUY,24837.15,24840.7,-3.5499999999992724
2025-07-25 15:22:00+05:30,2025-07-25 15:26:00+05:30,BUY,SELL,24840.7,24835.4,-5.299999999999272
2025-07-25 15:26:00+05:30,2025-07-25 15:29:00+05:30,SELL,BUY,24835.4,24832.2,3.2000000000007276
