time,pnl,atp,lowest_retracement_pct
2025-07-25 11:34:00+05:30,0.0,0.0,0.0
2025-07-25 11:35:00+05:30,3.35,3.35,0.0
2025-07-25 11:36:00+05:30,2.1,3.35,37.31
2025-07-25 11:37:00+05:30,10.3,10.3,0.0
2025-07-25 11:38:00+05:30,11.75,11.75,0.0
2025-07-25 11:39:00+05:30,7.35,11.75,37.45
2025-07-25 11:40:00+05:30,13.85,13.85,0.0
2025-07-25 11:41:00+05:30,15.35,15.35,0.0
2025-07-25 11:42:00+05:30,8.8,15.35,42.67
2025-07-25 11:43:00+05:30,6.05,15.35,60.59
2025-07-25 11:44:00+05:30,7.0,15.35,60.59
2025-07-25 11:45:00+05:30,10.45,15.35,60.59
2025-07-25 11:46:00+05:30,14.5,15.35,60.59
2025-07-25 11:47:00+05:30,33.7,33.7,0.0
2025-07-25 11:48:00+05:30,40.35,40.35,0.0
2025-07-25 11:49:00+05:30,34.2,40.35,15.24
2025-07-25 11:50:00+05:30,31.35,40.35,22.3
2025-07-25 11:51:00+05:30,34.55,40.35,22.3
2025-07-25 11:52:00+05:30,36.8,40.35,22.3
2025-07-25 11:53:00+05:30,29.25,40.35,27.51
2025-07-25 11:54:00+05:30,27.0,40.35,33.09
2025-07-25 11:55:00+05:30,25.85,40.35,35.94
2025-07-25 11:56:00+05:30,27.3,40.35,35.94
