entry_time,exit_time,entry_action,max_profit_pct,max_retracement_pct,exit_profit_pct
2025-07-25 09:27:00+05:30,2025-07-25 09:35:00+05:30,BUY,0.19,0.16,0.08
2025-07-25 09:35:00+05:30,2025-07-25 09:38:00+05:30,SELL,0.03,0.09,-0.06
2025-07-25 09:38:00+05:30,2025-07-25 09:41:00+05:30,BUY,0.0,0.12,-0.12
2025-07-25 09:41:00+05:30,2025-07-25 09:53:00+05:30,SELL,0.13,0.11,0.07
2025-07-25 09:53:00+05:30,2025-07-25 09:54:00+05:30,BUY,0.0,0.03,-0.03
2025-07-25 09:54:00+05:30,2025-07-25 09:56:00+05:30,SELL,0.0,0.08,-0.08
2025-07-25 09:56:00+05:30,2025-07-25 09:59:00+05:30,BUY,0.0,0.06,-0.05
2025-07-25 09:59:00+05:30,2025-07-25 10:03:00+05:30,SELL,0.03,0.06,-0.03
2025-07-25 10:03:00+05:30,2025-07-25 10:05:00+05:30,BUY,0.0,0.06,-0.06
2025-07-25 10:05:00+05:30,2025-07-25 10:43:00+05:30,SELL,0.29,0.07,0.23
2025-07-25 10:43:00+05:30,2025-07-25 10:54:00+05:30,BUY,0.05,0.06,-0.02
2025-07-25 10:54:00+05:30,2025-07-25 11:00:00+05:30,SELL,0.0,0.05,-0.05
2025-07-25 11:00:00+05:30,2025-07-25 11:11:00+05:30,BUY,0.06,0.08,-0.02
2025-07-25 11:11:00+05:30,2025-07-25 11:20:00+05:30,SELL,0.06,0.11,-0.05
2025-07-25 11:20:00+05:30,2025-07-25 11:34:00+05:30,BUY,0.13,0.17,-0.04
2025-07-25 11:34:00+05:30,2025-07-25 11:56:00+05:30,SELL,0.16,0.06,0.11
2025-07-25 11:56:00+05:30,2025-07-25 12:00:00+05:30,BUY,0.01,0.03,-0.02
2025-07-25 12:00:00+05:30,2025-07-25 12:05:00+05:30,SELL,0.02,0.05,-0.03
2025-07-25 12:05:00+05:30,2025-07-25 12:09:00+05:30,BUY,0.0,0.05,-0.05
2025-07-25 12:09:00+05:30,2025-07-25 12:13:00+05:30,SELL,0.0,0.04,-0.04
2025-07-25 12:13:00+05:30,2025-07-25 12:16:00+05:30,BUY,0.0,0.03,-0.03
2025-07-25 12:16:00+05:30,2025-07-25 12:30:00+05:30,SELL,0.07,0.05,0.02
2025-07-25 12:30:00+05:30,2025-07-25 12:52:00+05:30,BUY,0.19,0.08,0.12
2025-07-25 12:52:00+05:30,2025-07-25 13:01:00+05:30,SELL,0.03,0.05,-0.02
2025-07-25 13:01:00+05:30,2025-07-25 13:03:00+05:30,BUY,0.0,0.06,-0.06
2025-07-25 13:03:00+05:30,2025-07-25 13:07:00+05:30,SELL,0.02,0.08,-0.06
2025-07-25 13:07:00+05:30,2025-07-25 13:11:00+05:30,BUY,0.0,0.06,-0.06
2025-07-25 13:11:00+05:30,2025-07-25 13:19:00+05:30,SELL,0.02,0.05,-0.03
2025-07-25 13:19:00+05:30,2025-07-25 13:29:00+05:30,BUY,0.05,0.06,-0.02
2025-07-25 13:29:00+05:30,2025-07-25 13:39:00+05:30,SELL,0.18,0.17,0.02
2025-07-25 13:39:00+05:30,2025-07-25 14:02:00+05:30,BUY,0.11,0.04,0.06
2025-07-25 14:02:00+05:30,2025-07-25 14:22:00+05:30,SELL,0.11,0.03,0.09
2025-07-25 14:22:00+05:30,2025-07-25 14:26:00+05:30,BUY,0.03,0.06,-0.03
2025-07-25 14:26:00+05:30,2025-07-25 14:38:00+05:30,SELL,0.09,0.09,-0.0
2025-07-25 14:38:00+05:30,2025-07-25 14:43:00+05:30,BUY,0.03,0.06,-0.03
2025-07-25 14:43:00+05:30,2025-07-25 14:57:00+05:30,SELL,0.05,0.04,0.0
2025-07-25 14:57:00+05:30,2025-07-25 15:04:00+05:30,BUY,0.02,0.03,-0.0
2025-07-25 15:04:00+05:30,2025-07-25 15:05:00+05:30,SELL,0.0,0.01,-0.01
2025-07-25 15:05:00+05:30,2025-07-25 15:16:00+05:30,BUY,0.07,0.05,0.02
2025-07-25 15:16:00+05:30,2025-07-25 15:22:00+05:30,SELL,0.01,0.04,-0.01
2025-07-25 15:22:00+05:30,2025-07-25 15:26:00+05:30,BUY,0.0,0.02,-0.02
2025-07-25 15:26:00+05:30,2025-07-25 15:29:00+05:30,SELL,0.02,0.01,0.01
